Analysis,Component name,Id numeric,Result text,Result type,Result value
D_CONDUCT,Conductividad a 20 ºC,168322,540,N,540.000
WMM-LM-CAM,Cloro total,168322,<0.1,N,0.000
D_PH,pH,168322,7.7,N,7.670
D_POT_IONI,CLORUROS,168322,10.14,N,10.140
D_POT_IONI,FLUORUROS,168322,0.11,N,0.110
D_POT_IONI,NITRATOS,168322,8.88,N,8.880
D_POT_IONI,NITRITOS,168322,<0.05,N,0.050
D_TURBIDEZ,Turbidez,168322,9.10,N,9.100
M-013-AC1,Recuento de Enterococos intestinales,168322,0,N,0.000
M-016-AC1,Recto. de Coliformes a 37ºC,168322,Presencia <4 ufc/100 ml,O,0.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168322,0,N,0.000
M-068-AC1,Microorganismos cultivables a 22 ºC,168322,6.5E+01,K,65.000
M-068-AC1,Microorganismos cultivables a 22º C,168322,6.5E+01,N,65.000
M-068-AC1,P1,168322,66,N,66.000
M-068-AC1,P2,168322,6,N,6.000
M-068-AC1,Recuento,168322,65,K,65.000
M-068-AC1,d,168322,0,N,0.000
SULF-IONIC,SULFATOS,168322,32.0,N,32.030
TEST-NH4,Amonio,168322,<0.20 mg/l,O,0.000
WMM-LM-CAM,Cloro combinado,168322,<0.1,N,0.000
WMM-LM-CAM,Cloro libre,168322,<0.1,N,0.000
D_OXIDABIL,Oxidabilidad al Permanganato,168322,1.92,N,1.920
D_CONDUCT,Conductividad a 20 ºC,168323,750,N,750.000
WMM-LM-CAM,Cloro total,168323,0.5,N,0.500
D_PH,pH,168323,7.9,N,7.850
D_POT_IONI,CLORUROS,168323,72.89,N,72.890
D_POT_IONI,FLUORUROS,168323,<0.10,N,0.100
D_POT_IONI,NITRATOS,168323,5.49,N,5.490
D_POT_IONI,NITRITOS,168323,<0.05,N,0.050
D_TURBIDEZ,Turbidez,168323,0.93,N,0.930
M-013-AC1,Recuento de Enterococos intestinales,168323,0,N,0.000
M-016-AC1,Recuento de Coliformes a 37 ºC,168323,0,N,0.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168323,0,N,0.000
M-068-AC1,Microorg. cultivables a 22ºC,168323,Presencia <4 ufc/ml,O,0.000
M-068-AC1,Microorganismos cultivables a 22 ºC,168323,1.0,K,1.000
M-068-AC1,P1,168323,1,N,1.000
M-068-AC1,P2,168323,0,N,0.000
M-068-AC1,Recuento,168323,1,K,1.000
M-068-AC1,d,168323,0,N,0.000
SULF-IONIC,SULFATOS,168323,47.6,N,47.550
TEST-NH4,Amonio,168323,<0.20 mg/l,O,0.000
WMM-LM-CAM,Cloro combinado,168323,.2,N,0.200
WMM-LM-CAM,Cloro libre,168323,0.3,N,0.300
D_OXIDABIL,Oxidabilidad al Permanganato,168323,1.32,N,1.320
M-013-AC1,Recuento de Enterococos intestinales,168324,0,N,0.000
WMM-LM-CAM,Cloro total,168324,0.2,N,0.200
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168324,0,N,0.000
M-068-AC1,Microorg. cultivables a 22ºC,168324,Presencia <4 ufc/ml,O,0.000
M-068-AC1,Microorganismos cultivables a 22 ºC,168324,1.0,K,1.000
M-068-AC1,P1,168324,1,N,1.000
M-068-AC1,P2,168324,0,N,0.000
M-068-AC1,Recuento,168324,1,K,1.000
M-068-AC1,d,168324,0,N,0.000
SULF-IONIC,SULFATOS,168324,14.6,N,14.550
TEST-NH4,Amonio,168324,<0.20 mg/l,O,0.000
WMM-LM-CAM,Cloro combinado,168324,.2,N,0.200
WMM-LM-CAM,Cloro libre,168324,<0.1,N,0.000
D_CONDUCT,Conductividad a 20 ºC,168324,265,N,265.000
D_OXIDABIL,Oxidabilidad al Permanganato,168324,1.72,N,1.720
D_PH,pH,168324,7.8,N,7.820
D_POT_IONI,CLORUROS,168324,12.93,N,12.930
D_POT_IONI,FLUORUROS,168324,0.89,N,0.890
D_POT_IONI,NITRATOS,168324,4.90,N,4.900
D_POT_IONI,NITRITOS,168324,<0.05,N,0.050
D_TURBIDEZ,Turbidez,168324,0.21,N,0.210
M-016-AC1,Recuento de Coliformes a 37 ºC,168324,0,N,0.000
M-013-AC1,Recuento de Enterococos intestinales,168325,0,N,0.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168325,0,N,0.000
M-068-AC1,Microorg. cultivables a 22ºC,168325,Presencia <4 ufc/ml,O,0.000
M-068-AC1,Microorganismos cultivables a 22 ºC,168325,1.0,K,1.000
M-068-AC1,P1,168325,1,N,1.000
M-068-AC1,P2,168325,0,N,0.000
M-068-AC1,Recuento,168325,1,K,1.000
M-068-AC1,d,168325,0,N,0.000
SULF-IONIC,SULFATOS,168325,10.8,N,10.780
TEST-NH4,Amonio,168325,<0.20 mg/l,O,0.000
WMM-LM-CAM,Cloro combinado,168325,.2,N,0.200
WMM-LM-CAM,Cloro libre,168325,0.3,N,0.300
WMM-LM-CAM,Cloro total,168325,0.5,N,0.500
D_CONDUCT,Conductividad a 20 ºC,168325,470,N,470.000
D_OXIDABIL,Oxidabilidad al Permanganato,168325,1.44,N,1.440
D_PH,pH,168325,7.6,N,7.600
D_POT_IONI,CLORUROS,168325,6.64,N,6.640
D_POT_IONI,FLUORUROS,168325,<0.10,N,0.100
D_POT_IONI,NITRATOS,168325,2.67,N,2.670
D_POT_IONI,NITRITOS,168325,<0.05,N,0.050
D_TURBIDEZ,Turbidez,168325,0.73,N,0.730
M-016-AC1,Recuento de Coliformes a 37 ºC,168325,0,N,0.000
WMM-LM-CAM,Cloro libre,168326,<0.1,N,0.000
WMM-LM-CAM,Cloro total,168326,<0.1,N,0.000
D_CONDUCT,Conductividad a 20 ºC,168326,460,N,460.000
D_OXIDABIL,Oxidabilidad al Permanganato,168326,1.56,N,1.560
D_PH,pH,168326,7.7,N,7.700
D_POT_IONI,CLORUROS,168326,6.00,N,6.000
D_POT_IONI,FLUORUROS,168326,<0.10,N,0.100
D_POT_IONI,NITRATOS,168326,2.49,N,2.490
D_POT_IONI,NITRITOS,168326,<0.05,N,0.050
D_TURBIDEZ,Turbidez,168326,0.48,N,0.480
M-013-AC1,Recto. de Enterococos intestinales,168326,Presencia <4 ufc/100 ml,O,0.000
M-016-AC1,Recto. de Coliformes a 37ºC,168326,Estimado 5 ufc/100 ml,O,0.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168326,0,N,0.000
M-068-AC1,Microorganismos cultivables a 22 ºC,168326,3.1E+02,K,310.000
M-068-AC1,Microorganismos cultivables a 22º C,168326,3.5E+02,N,350.000
M-068-AC1,P1,168326,>300,N,300.000
M-068-AC1,P2,168326,35,N,35.000
M-068-AC1,Recuento,168326,305,K,305.000
M-068-AC1,d,168326,0,N,0.000
SULF-IONIC,SULFATOS,168326,10.2,N,10.150
TEST-NH4,Amonio,168326,<0.20 mg/l,O,0.000
WMM-LM-CAM,Cloro combinado,168326,<0.1,N,0.000
WMM-LM-CAM,Cloro combinado,168327,.3,N,0.300
WMM-LM-CAM,Cloro libre,168327,0.1,N,0.100
WMM-LM-CAM,Cloro total,168327,0.4,N,0.400
D_CONDUCT,Conductividad a 20 ºC,168327,265,N,265.000
D_OXIDABIL,Oxidabilidad al Permanganato,168327,1.28,N,1.280
D_PH,pH,168327,7.9,N,7.890
D_POT_IONI,CLORUROS,168327,13.31,N,13.310
D_POT_IONI,FLUORUROS,168327,0.84,N,0.840
D_POT_IONI,NITRATOS,168327,4.90,N,4.900
D_POT_IONI,NITRITOS,168327,<0.05,N,0.050
D_TURBIDEZ,Turbidez,168327,0.32,N,0.320
M-013-AC1,Recuento de Enterococos intestinales,168327,0,N,0.000
M-016-AC1,Recuento de Coliformes a 37 ºC,168327,0,N,0.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168327,0,N,0.000
M-068-AC1,Microorganismos cultivables a 22 ºC,168327,0.0,K,0.000
