Analysis,Component name,Id numeric,Result text,Result type,Result value
D_PH,pH,242870,7.4,N,7.350
M-034,Recuento de Pseudomonas aeruginosa,242870,<1,N,1.000
D_CONDUCT,Conductividad a 20 ºC,242870,871,N,871.200
AMONI-CI-P,Amonio,242870,<0.15,N,0.000
D_TURBIDEZ,Turbidez,242870,<0.4,N,0.170
FECHA-AMB,Fecha comienzo de los ensayos,242870,15/12/2025,T,0.000
FECHA-AMB,Fecha fin de los ensayos,242870,17/12/2025,T,0.000
FECHA-LEG,Análisis Legionella-Fecha de inicio,242870,16/12/2025,T,0.000
FECHA-LEG,Análisis Legionella-Fecha fin,242870,26/12/2025,T,0.000
FECHA-MI,Fecha comienzo de los ensayos,242870,15/12/2025,T,0.000
FECHA-MI,Fecha fin de los ensayos,242870,17/12/2025,T,0.000
M-019-AC1,Recuento de Estafilococos coagulasa +,242870,0,N,0.000
M-027,Recuento de E. coli,242870,<1,N,1.000
M-027,Recuento de bacterias coliformes,242870,<1,N,1.000
M-033-AC2,Legionella spp - Recuento,242870,No detectado,O,0.000
M-033-AC2,Legionella-Limite detección ensayo,242870,25 ufc/L,O,0.000
M-033-AC2,Legionella-Volumen filtrado,242870,1,N,1.000
D_OXIDABIL,Oxidabilidad,242870,0.90,N,0.900
D_PH,pH,242872,7.4,N,7.400
D_OXIDABIL,Oxidabilidad,242872,0.90,N,0.900
D_CONDUCT,Conductividad a 20 ºC,242872,1355,N,1355.000
AMONI-CI-P,Amonio,242872,<0.15,N,0.000
D_TURBIDEZ,Turbidez,242872,<0.4,N,0.180
M-034,Recuento de Pseudomonas aeruginosa,242872,<1,N,1.000
M-033-AC2,Legionella-Volumen filtrado,242872,1,N,1.000
M-033-AC2,Legionella-Limite detección ensayo,242872,25 ufc/L,O,0.000
M-033-AC2,Legionella spp - Recuento,242872,No detectado,O,0.000
M-027,Recuento de bacterias coliformes,242872,3,N,3.000
M-027,Recuento de E. coli,242872,<1,N,1.000
M-019-AC1,Recuento de Estafilococos coagulasa +,242872,0,N,0.000
FECHA-MI,Fecha fin de los ensayos,242872,17/12/2025,T,0.000
FECHA-MI,Fecha comienzo de los ensayos,242872,15/12/2025,T,0.000
FECHA-AMB,Fecha comienzo de los ensayos,242872,15/12/2025,T,0.000
FECHA-AMB,Fecha fin de los ensayos,242872,17/12/2025,T,0.000
FECHA-LEG,Análisis Legionella-Fecha de inicio,242872,16/12/2025,T,0.000
FECHA-LEG,Análisis Legionella-Fecha fin,242872,26/12/2025,T,0.000
FECHA-MI,Fecha fin de los ensayos,242873,22/12/2025,T,0.000
FECHA-MI,Fecha comienzo de los ensayos,242873,15/12/2025,T,0.000
ENVASE,Envase,242873,Vidrio 500ml,O,0.000
BIOCIDA,Biocida nombre,242873,hipoclorito,T,0.000
PE-IL-TEMP,Temperatura del agua,242873,37.6,N,37.600
PE-IL-CL,Cloro libre,242873,0.0,N,0.000
M-021,Recuento transformado,242873,1.0E+01,K,10.000
M-021,Recuento de Legionella pneumophila,242873,<10,N,10.000
M-021,Recuento,242873,<10,N,10.000
BIOCIDA,Biocida neutralizante,242873,tiosulfato,T,0.000
BIOCIDA,Biocida neutralizante,243041,tiosulfato sódico,T,0.000
M-033-AC2,Legionella spp - Recuento,243041,No detectado,O,0.000
ENVASE,Envase,243041,Vidrio 1L,O,0.000
FECHA-LEG,Análisis Legionella-Fecha de inicio,243041,09/01/2026,T,0.000
FECHA-LEG,Análisis Legionella-Fecha fin,243041,19/01/2026,T,0.000
BIOCIDA,Biocida nombre,243041,hipoclorito sódico,T,0.000
M-033-AC2,Legionella-Limite detección ensayo,243041,25 ufc/L,O,0.000
M-033-AC2,Legionella-Volumen filtrado,243041,1,N,1.000
PE-IL-CL,Cloro libre,243041,0.0,N,0.000
PE-IL-TEMP,Temperatura del agua,243041,62.0,N,62.000
FECHA-LEG,Análisis Legionella-Fecha fin,243042,19/01/2026,T,0.000
FECHA-LEG,Análisis Legionella-Fecha de inicio,243042,09/01/2026,T,0.000
ENVASE,Envase,243042,Vidrio 1L,O,0.000
BIOCIDA,Biocida nombre,243042,hipoclorito sódico,T,0.000
PE-IL-TEMP,Temperatura del agua,243042,48.0,N,48.000
M-033-AC2,Legionella spp - Recuento,243042,No detectado,O,0.000
M-033-AC2,Legionella-Limite detección ensayo,243042,25 ufc/L,O,0.000
M-033-AC2,Legionella-Volumen filtrado,243042,1,N,1.000
PE-IL-CL,Cloro libre,243042,0.0,N,0.000
BIOCIDA,Biocida neutralizante,243042,tiosulfato sódico,T,0.000
PE-IL-TEMP,Temperatura del agua,243043,46.0,N,46.000
PE-IL-CL,Cloro libre,243043,0.0,N,0.000
M-033-AC2,Legionella-Volumen filtrado,243043,1,N,1.000
FECHA-LEG,Análisis Legionella-Fecha fin,243043,19/01/2026,T,0.000
M-033-AC2,Legionella spp - Recuento,243043,No detectado,O,0.000
M-033-AC2,Legionella-Limite detección ensayo,243043,25 ufc/L,O,0.000
FECHA-LEG,Análisis Legionella-Fecha de inicio,243043,09/01/2026,T,0.000
ENVASE,Envase,243043,Vidrio 1L,O,0.000
BIOCIDA,Biocida nombre,243043,hipoclorito sódico,T,0.000
BIOCIDA,Biocida neutralizante,243043,tiosulfato sódico,T,0.000
M-033-AC2,Legionella-Limite detección ensayo,243044,25 ufc/L,O,0.000
M-033-AC2,Legionella-Volumen filtrado,243044,1,N,1.000
PE-IL-CL,Cloro libre,243044,0.0,N,0.000
PE-IL-TEMP,Temperatura del agua,243044,46.0,N,46.000
M-033-AC2,Legionella spp - Recuento,243044,No detectado,O,0.000
FECHA-LEG,Análisis Legionella-Fecha de inicio,243044,09/01/2026,T,0.000
ENVASE,Envase,243044,Vidrio 1L,O,0.000
BIOCIDA,Biocida nombre,243044,hipoclorito sódico,T,0.000
BIOCIDA,Biocida neutralizante,243044,tiosulfato sódico,T,0.000
FECHA-LEG,Análisis Legionella-Fecha fin,243044,21/01/2026,T,0.000
BIOCIDA,Biocida neutralizante,243045,tiosulfato sódico,T,0.000
BIOCIDA,Biocida nombre,243045,hipoclorito sódico,T,0.000
ENVASE,Envase,243045,Vidrio 1L,O,0.000
