Id numeric,Result text,Result value,Sampled date,Test status,Description,Component name,Sample name
"    231472","0                                                                                                                                                                                                                                         ","     0.000","11-JAN-2024 12:05:00","A","blanco proceso                                                                                      ","P1                                      ","agua blanco legio             "
"    231472","0                                                                                                                                                                                                                                         ","     0.000","11-JAN-2024 12:05:00","A","blanco proceso                                                                                      ","P2                                      ","agua blanco legio             "
"    231472","0                                                                                                                                                                                                                                         ","     0.000","11-JAN-2024 12:05:00","A","blanco proceso                                                                                      ","d                                       ","agua blanco legio             "
"    231472","0                                                                                                                                                                                                                                         ","     0.000","11-JAN-2024 12:05:00","A","blanco proceso                                                                                      ","Recuento                                ","agua blanco legio             "
"    231472","Vidrio 500ml                                                                                                                                                                                                                              ","     0.000","11-JAN-2024 12:05:00","A","blanco proceso                                                                                      ","Envase                                  ","agua blanco legio             "
"    231472","<1                                                                                                                                                                                                                                        ","     1.000","11-JAN-2024 12:05:00","A","blanco proceso                                                                                      ","Microorganismos cultivables a 37 ºC     ","agua blanco legio             "
"    231472","12/1/24                                                                                                                                                                                                                                   ","     0.000","11-JAN-2024 12:05:00","A","blanco proceso                                                                                      "," Fecha comienzo de los ensayos          ","agua blanco legio             "
"    231472","22/1/24                                                                                                                                                                                                                                   ","     0.000","11-JAN-2024 12:05:00","A","blanco proceso                                                                                      "," Fecha fin de los ensayos               ","agua blanco legio             "
"    231472","0.0                                                                                                                                                                                                                                       ","     0.000","11-JAN-2024 12:05:00","A","blanco proceso                                                                                      ","Microorganismos cultivables a 37º C     ","agua blanco legio             "
"    231935","5/2/24                                                                                                                                                                                                                                    ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              "," Fecha comienzo de los ensayos          ","agua blanco                   "
"    231935","07/02/2024                                                                                                                                                                                                                                ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              "," Fecha fin de los ensayos               ","agua blanco                   "
"    231935","<1.0                                                                                                                                                                                                                                      ","     0.030","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Plomo total                             ","agua blanco                   "
"    231935","<1.0                                                                                                                                                                                                                                      ","     0.100","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Antimonio total                         ","agua blanco                   "
"    231935","<1.5                                                                                                                                                                                                                                      ","     0.003","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Cadmio total                            ","agua blanco                   "
"    231935","<1.0                                                                                                                                                                                                                                      ","     0.020","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Selenio total                           ","agua blanco                   "
"    231935","<1.0                                                                                                                                                                                                                                      ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Arsénico total                          ","agua blanco                   "
"    231935","<50.0                                                                                                                                                                                                                                     ","     0.070","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Cobre total                             ","agua blanco                   "
"    231935","<5.0                                                                                                                                                                                                                                      ","     0.020","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Niquel total                            ","agua blanco                   "
"    231935","<10.0                                                                                                                                                                                                                                     ","     0.820","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Hierro total                            ","agua blanco                   "
"    231935","<10.0                                                                                                                                                                                                                                     ","     0.040","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Manganeso total                         ","agua blanco                   "
"    231935","<10.0                                                                                                                                                                                                                                     ","     0.080","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Cromo total                             ","agua blanco                   "
"    231935","<50.0                                                                                                                                                                                                                                     ","     0.300","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Aluminio total                          ","agua blanco                   "
"    231935","<50.0                                                                                                                                                                                                                                     ","     0.040","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Boro total                              ","agua blanco                   "
